Date,Amount,Category,Income,Savings,Description
2024-01-05,2500,Food,55000,8000,Grocery shopping
2024-01-08,800,Transport,55000,8000,Uber ride
2024-01-10,5000,Shopping,55000,8000,Clothes from Zara
2024-01-14,1200,Utilities,55000,8000,Electricity bill
2024-01-17,3500,Entertainment,55000,8000,Cinema & dinner
2024-01-20,600,Transport,55000,8000,Petrol
2024-01-23,1800,Food,55000,8000,Restaurant dinner
2024-01-28,900,Health,55000,8000,Pharmacy
2024-02-02,2200,Food,58000,9000,Weekly groceries
2024-02-06,4500,Shopping,58000,9000,Shoes & accessories
2024-02-09,1500,Utilities,58000,9000,Internet bill
2024-02-13,700,Transport,58000,9000,Careem rides
2024-02-16,2800,Entertainment,58000,9000,Netflix + games
2024-02-20,3200,Food,58000,9000,Grocery + snacks
2024-02-24,1100,Health,58000,9000,Doctor visit
2024-02-27,600,Transport,58000,9000,Petrol
2024-03-03,2600,Food,60000,10000,Grocery shopping
2024-03-07,6000,Shopping,60000,10000,Mobile accessories
2024-03-11,1300,Utilities,60000,10000,Gas bill
2024-03-15,4000,Entertainment,60000,10000,Trip to Murree
2024-03-18,900,Transport,60000,10000,Uber rides
2024-03-22,2100,Food,60000,10000,Dine out with family
2024-03-26,800,Health,60000,10000,Vitamins & supplements
2024-03-30,1600,Utilities,60000,10000,Water & electricity
2024-04-04,2900,Food,62000,11000,Monthly groceries
2024-04-08,3800,Shopping,62000,11000,Books & stationery
2024-04-12,700,Transport,62000,11000,Petrol
2024-04-16,5500,Entertainment,62000,11000,Concert tickets
2024-04-19,1400,Utilities,62000,11000,Phone bill
2024-04-23,2400,Food,62000,11000,Bakery & groceries
2024-04-27,1000,Health,62000,11000,Gym membership
2024-05-02,2700,Food,63000,12000,Grocery shopping
2024-05-06,800,Transport,63000,12000,Careem
2024-05-10,4200,Shopping,63000,12000,Summer clothing
2024-05-14,1500,Utilities,63000,12000,Electricity bill
2024-05-18,3000,Entertainment,63000,12000,Family outing
2024-05-21,600,Transport,63000,12000,Petrol
2024-05-25,2000,Food,63000,12000,Restaurant + groceries
2024-05-29,950,Health,63000,12000,Dental checkup
2024-06-03,3100,Food,65000,13000,Monthly groceries
2024-06-07,5800,Shopping,65000,13000,Eid shopping
2024-06-11,1200,Transport,65000,13000,Uber + petrol
2024-06-15,1800,Utilities,65000,13000,All utility bills
2024-06-20,4500,Entertainment,65000,13000,Eid celebration dinner
2024-06-25,1100,Health,65000,13000,Medicine & checkup
